Name,Price,Rating,Instock
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,True
The Death of Humanity: and the Case for Life,58.11,Four,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,True
The Art Forger,40.76,Three,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,True
Soul Reader,39.58,Two,True
Security,39.25,Two,True
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,True
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,Three,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,True
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,True
"Pop Gun War, Volume 1: Gift",18.97,One,True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,True
Patience,10.16,Three,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,True
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,True
On a Midnight Clear,14.07,Three,True
Obsidian (Lux #1),14.86,Two,True
My Paris Kitchen: Recipes and Stories,33.37,Two,True
Masks and Shadows,56.40,Two,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,True
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,Two,True
Join,35.67,Five,True
In the Country We Love: My Family Divided,22.00,Four,True
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,True
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,True
I am a Hero Omnibus Volume 1,54.63,Three,True
How to Be Miserable: 40 Strategies You Already Use,46.03,One,True
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,True
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,True
First and First (Five Boroughs #3),15.97,Four,True
Fifty Shades Darker (Fifty Shades #2),21.96,One,True
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,True
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,True
Danganronpa Volume 1,51.99,Four,True
Crown of Midnight (Throne of Glass #2),43.29,Three,True
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,True
Camp Midnight,17.08,Four,True
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,True
Burning,28.81,Three,True
Bossypants,49.46,Two,True
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,True
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,True
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,True
A World of Flavor: Your Gluten Free Passport,42.95,One,True
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,True
A Murder in Time,16.64,One,True
A Flight of Arrows (The Pathfinders #2),55.53,Five,True
A Fierce and Subtle Poison,28.13,Four,True
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,True
(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,Five,True
You Are What You Love: The Spiritual Power of Habit,21.87,Four,True
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.30,Four,True
Tuesday Nights in 1980,21.04,Two,True
Tracing Numbers on a Train,41.60,Three,True
Throne of Glass (Throne of Glass #1),35.07,Three,True
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,True
Thirteen Reasons Why,52.72,One,True
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,Four,True
The Wedding Dress,24.12,One,True
The Vacationers,42.15,Four,True
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,Five,True
The Stranger,17.44,Four,True
The Shadow Hero (The Shadow Hero),33.14,One,True
The Secret (The Secret #1),27.37,Four,True
The Regional Office Is Under Attack!,51.36,Five,True
The Psychopath Test: A Journey Through the Madness Industry,36.00,Two,True
The Project,10.65,One,True
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,True
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,True
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,True
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,Four,True
The Mistake (Off-Campus #2),43.29,Three,True
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,True
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.60,Two,True
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,True
The Kite Runner,41.82,Four,True
The House by the Lake,36.95,One,True
The Glittering Court (The Glittering Court #1),44.28,One,True
The Girl on the Train,55.02,Two,True
The Genius of Birds,17.24,One,True
The Emerald Mystery,23.15,Two,True
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,True
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,Three,True
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,True
The Art of War,33.34,Five,True
The Argonauts,10.93,Two,True
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,True
Suddenly in Love (Lake Haven #1),55.99,Two,True
Something More Than This,16.24,Four,True
Soft Apocalypse,26.12,Two,True
So You've Been Publicly Shamed,12.23,Two,True
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,True
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,True
Secrets and Lace (Fatal Hearts #1),20.27,One,True
Scarlett Epstein Hates It Here,43.55,Five,True
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,True
Redeeming Love,20.47,Five,True
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,True
Poems That Make Grown Women Cry,14.19,Four,True
"Nightingale, Sing",38.28,One,True
Night Sky with Exit Wounds,41.05,One,True
Mrs. Houdini,30.25,Five,True
Modern Romance,28.26,Five,True
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,One,True
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,True
Little Red,13.47,Three,True
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,Five,True
Large Print Heart of the Pride,19.15,Two,True
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,True
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,One,True
Grumbles,22.16,Two,True
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,True
Frostbite (Vampire Academy #2),29.99,Five,True
Follow You Home,21.36,One,True
First Steps for New Christians (Print Edition),29.00,One,True
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,True
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,True
Eureka Trivia 6.0,54.59,Four,True
Drive: The Surprising Truth About What Motivates Us,34.95,Four,True
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,True
Doing It Over (Most Likely To #1),35.61,Three,True
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,True
Dark Notes,19.19,Five,True
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three,True
Close to You,49.46,Four,True
Chasing Heaven: What Dying Taught Me About Living,37.80,Two,True
Big Magic: Creative Living Beyond Fear,30.80,Three,True
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two,True
Beauty Restored (Riley Family Legacy Novellas #3),11.11,Two,True
Batman: The Long Halloween (Batman),36.50,Two,True
Batman: The Dark Knight Returns (Batman),15.38,Five,True
Ayumi's Violin,15.48,Two,True
Anonymous,46.82,Four,True
Amy Meets the Saints and Sages,18.46,Three,True
Amid the Chaos,36.58,One,True
Amatus,50.54,Five,True
Agnostic: A Spirited Manifesto,12.51,Five,True
Zealot: The Life and Times of Jesus of Nazareth,24.70,Three,True
You (You #1),43.61,Five,True
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,True
Wild Swans,14.36,Two,True
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Four,True
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.20,Four,True
What's It Like in Space?: Stories from Astronauts Who've Been There,19.60,Two,True
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90,One,True
Walt Disney's Alice in Wonderland,12.96,Five,True
V for Vendetta (V for Vendetta Complete),37.10,Four,True
Until Friday Night (The Field Party #1),46.31,Two,True
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Two,True
Twenty Yawns,22.08,Two,True
Through the Woods,25.38,Two,True
This Is Where It Ends,27.12,Two,True
The Year of Magical Thinking,43.04,Two,True
The Wright Brothers,56.80,Four,True
The White Queen (The Cousins' War #1),25.91,Five,True
The Wedding Pact (The O'Malleys #2),32.61,Three,True
The Time Keeper,27.88,Five,True
The Testament of Mary,52.67,Four,True
The Star-Touched Queen,46.02,Five,True
The Songs of the Gods,44.48,Five,True
The Song of Achilles,37.40,Five,True
The Rosie Project (Don Tillman #1),54.04,One,True
The Power of Habit: Why We Do What We Do in Life and Business,16.88,Three,True
The Marriage of Opposites,28.08,Four,True
The Lucifer Effect: Understanding How Good People Turn Evil,10.40,One,True
The Long Haul (Diary of a Wimpy Kid #9),44.07,One,True
The Loney,23.40,One,True
The Literature Book (Big Ideas Simply Explained),17.43,Three,True
The Last Mile (Amos Decker #2),54.21,Two,True
The Immortal Life of Henrietta Lacks,40.67,Two,True
The Hidden Oracle (The Trials of Apollo #1),52.26,Two,True
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three,True
The Guilty (Will Robie #4),13.82,Two,True
The First Hostage (J.B. Collins #2),25.85,Three,True
The Dovekeepers,48.78,One,True
The Darkest Lie,35.35,Five,True
The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four,True
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,One,True
The 14th Colony (Cotton Malone #11),39.24,One,True
That Darkness (Gardiner and Renner #1),13.92,One,True
Tastes Like Fear (DI Marnie Rome #3),10.69,One,True
Take Me with You,45.21,Three,True
Swell: A Year of Waves,45.58,One,True
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,True
Still Life with Bread Crumbs,26.41,Three,True
Steve Jobs,39.50,Five,True
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four,True
Someone Like You (The Harrisons #2),52.79,Five,True
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,True
Shtum,55.84,Four,True
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,True
salt.,46.78,Four,True
Robin War,47.82,Three,True
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,True
Rain Fish,23.57,Three,True
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Five,True
Pet Sematary,10.56,Three,True
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Three,True
Once Was a Time,18.28,Two,True
Old School (Diary of a Wimpy Kid #10),11.83,Five,True
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two,True
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,True
My Name Is Lucy Barton,41.56,One,True
My Mrs. Brown,24.48,Three,True
My Kind of Crazy,40.36,One,True
Mr. Mercedes (Bill Hodges Trilogy #1),28.90,One,True
More Than Music (Chasing the Dream #1),37.61,Two,True
Made to Stick: Why Some Ideas Survive and Others Die,38.85,Five,True
Luis Paints the World,53.95,Three,True
Luckiest Girl Alive,49.83,Three,True
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,True
Love Is a Mix Tape (Music #1),18.03,One,True
Looking for Lovely: Collecting the Moments that Matter,29.14,Five,True
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Four,True
Let It Out: A Journey Through Journaling,26.79,Five,True
Lady Midnight (The Dark Artifices #1),16.28,Five,True
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One,True
Island of Dragons (Unwanteds #7),29.65,One,True
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Four,True
I Am Pilgrim (Pilgrim #1),10.60,Four,True
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Five,True
"Hush, Hush (Hush, Hush #1)",47.02,Three,True
Hold Your Breath (Search and Rescue #1),28.82,One,True
Hamilton: The Revolution,58.79,Three,True
Greek Mythic History,10.23,Five,True
God: The Most Unpleasant Character in All Fiction,30.03,Five,True
Glory over Everything: Beyond The Kitchen House,45.84,Three,True
Feathers: Displays of Brilliant Plumage,49.05,Three,True
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four,True
Every Last Word,46.47,Three,True
Eligible (The Austen Project #4),27.09,Three,True
El Deafo,57.62,Five,True
Eight Hundred Grapes,14.39,Four,True
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,True
"Eat Fat, Get Thin",54.07,Two,True
Don't Get Caught,55.35,One,True
Doctor Sleep (The Shining #2),40.12,Two,True
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,True
Dear Mr. Knightley,11.21,Five,True
Daily Fantasy Sports,36.58,One,True
Crazy Love: Overwhelmed by a Relentless God,47.72,Two,True
Cometh the Hour (The Clifton Chronicles #6),25.01,Three,True
Code Name Verity (Code Name Verity #1),22.13,Four,True
Clockwork Angel (The Infernal Devices #1),44.14,One,True
City of Glass (The Mortal Instruments #3),56.02,Four,True
City of Fallen Angels (The Mortal Instruments #4),11.23,Four,True
City of Bones (The Mortal Instruments #1),43.28,One,True
City of Ashes (The Mortal Instruments #2),47.27,One,True
Cell,20.29,Four,True
Catching Jordan (Hundred Oaks),50.83,Three,True
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three,True
Carrie,46.23,Two,True
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.80,Four,True
Brain on Fire: My Month of Madness,49.32,Five,True
Batman: Europa,32.01,Two,True
Barefoot Contessa Back to Basics,28.01,One,True
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five,True
Balloon Animals,17.03,Three,True
Art Ops Vol. 1,48.80,Three,True
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four,True
Angels Walking (Angels Walking #1),34.20,Two,True
Angels & Demons (Robert Langdon #1),51.48,Three,True
All the Light We Cannot See,29.87,Five,True
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.90,Two,True
Abstract City,56.37,Five,True
A Time of Torment (Charlie Parker #14),48.35,Five,True
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,True
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two,True
A People's History of the United States,40.79,Two,True
A Man Called Ove,39.72,One,True
A Distant Mirror: The Calamitous 14th Century,14.58,Three,True
A Brush of Wings (Angels Walking #3),55.51,One,True
1491: New Revelations of the Americas Before Columbus,21.80,Three,True
"The Three Searches, Meaning, and the Story",13.33,Three,True
Searching for Meaning in Gailana,38.73,One,True
Rook,37.86,Four,True
My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two,True
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,True
Will You Won't You Want Me?,13.86,Three,True
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One,True
The Star-Touched Queen,32.30,Five,True
The Silent Sister (Riley MacPherson #1),46.29,Five,True
The Midnight Watch: A Novel of the Titanic and the Californian,26.20,One,True
The Lonely City: Adventures in the Art of Being Alone,33.26,Two,True
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four,True
The Golden Condom: And Other Essays on Love Lost and Found,39.43,One,True
The Epidemic (The Program 0.6),14.44,Five,True
The Dinner Party,56.54,Two,True
The Diary of a Young Girl,59.90,Three,True
The Children,11.88,Three,True
Stars Above (The Lunar Chronicles #4.5),48.05,Two,True
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three,True
Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four,True
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One,True
Psycho: Sanitarium (Psycho #1.5),36.97,Five,True
Poisonous (Max Revere Novels #3),26.80,Three,True
One with You (Crossfire #5),15.71,Four,True
No Love Allowed (Dodge Cove #1),54.65,Four,True
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,True
Most Wanted,35.28,Three,True
"Love, Lies and Spies",20.55,Two,True
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five,True
Hide Away (Eve Duncan #20),11.84,One,True
Furiously Happy: A Funny Book About Horrible Things,41.46,Four,True
Everyday Italian: 125 Simple and Delicious Recipes,20.10,Five,True
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One,True
Eleanor & Park,56.51,Five,True
Dirty (Dive Bar #1),40.83,Four,True
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One,True
Boar Island (Anna Pigeon #19),59.48,Three,True
A Paris Apartment,39.01,Four,True
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One,True
Troublemaker: Surviving Hollywood and Scientology,48.39,Two,True
The Widow,27.26,Two,True
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four,True
The Improbability of Love,59.45,One,True
The Art of Startup Fundraising,21.00,Three,True
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,True
Sleeping Giants (Themis Files #1),48.74,One,True
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two,True
Playing with Fire,13.71,Three,True
Off the Hook (Fishing for Trouble #1),47.67,Three,True
Mothering Sunday,13.34,Two,True
"Mother, Can You Not?",16.89,Five,True
M Train,27.18,One,True
Lilac Girls,17.28,Two,True
Lies and Other Acts of Love,45.14,One,True
Lab Girl,40.85,One,True
Keep Me Posted,20.46,Four,True
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,Three,True
Grey (Fifty Shades #4),48.49,Four,True
"Exit, Pursued by a Bear",51.34,Four,True
Daredevils,16.34,Three,True
Cravings: Recipes for What You Want to Eat,20.50,Three,True
Born for This: How to Find the Work You Were Meant to Do,21.59,Five,True
Arena,21.36,Four,True
Adultery,20.88,Five,True
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Three,True
A Gentleman's Position (Society of Gentlemen #3),14.75,Five,True
11/22/63,48.48,Three,True
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Two,True
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,Five,True
Without Shame,48.27,Five,True
Watchmen,58.05,Four,True
Unlimited Intuition Now,58.87,Four,True
Underlying Notes,11.82,Two,True
The Shack,28.03,One,True
The New Brand You: Your New Image Makes the Sale for You,44.05,Five,True
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four,True
The Flowers Lied,16.68,Two,True
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One,True
The Book of Mormon,24.57,Three,True
The Art and Science of Low Carbohydrate Living,52.98,Five,True
The Alien Club,54.40,One,True
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Five,True
Nap-a-Roo,25.08,One,True
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,True
Modern Day Fables,47.44,Two,True
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,One,True
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,True
Dress Your Family in Corduroy and Denim,43.68,Three,True
Don't Forget Steven,33.23,One,True
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Two,True
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,Four,True
A Shard of Ice (The Black Symphony Saga #1),56.63,Three,True
A Hero's Curse (The Unseen Chronicles #1),50.49,Three,True
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Two,True
"Zero to One: Notes on Startups, or How to Build the Future",34.06,Three,True
Why Not Me?,17.76,One,True
When Breath Becomes Air,39.36,Two,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,True
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,Five,True
The New Drawing on the Right Side of the Brain,43.02,Three,True
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,Four,True
The Martian (The Martian #1),41.39,Two,True
The High Mountains of Portugal,51.15,One,True
The Grownup,35.88,One,True
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,One,True
South of Sunshine,28.93,One,True
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,Five,True
Silence in the Dark (Logan Point #4),58.33,Three,True
Shadows of the Past (Logan Point #1),39.67,Five,True
Roller Girl,14.10,Five,True
Rising Strong,21.82,Three,True
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One,True
Please Kill Me: The Uncensored Oral History of Punk,31.19,Four,True
Out of Print: City Lights Spotlight No. 14,53.64,Five,True
My Life Next Door (My Life Next Door ),36.39,Five,True
Miller's Valley,58.54,Two,True
Man's Search for Meaning,29.48,Three,True
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,Two,True
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Three,True
Les Fleurs du Mal,29.04,Five,True
Left Behind (Left Behind #1),40.72,Two,True
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,Five,True
Kierkegaard: A Christian Missionary to Christians,47.13,One,True
John Vassos: Industrial Design for Modern Life,20.22,Four,True
I'll Give You the Sun,56.48,One,True
I Will Find You,44.21,One,True
Hystopia: A Novel,21.96,Four,True
Howl and Other Poems,40.45,Two,True
History of Beauty,10.29,Four,True
